"","REO","RESBP","EE","PE","RESAP","CEG"
"415",4.375,1.571,3,5,3.333,3.552
"416",3.375,3.429,4.5,3.857,2.333,3.552
"417",3.25,2.714,3,3.571,1.667,3
"418",3.25,3.714,5,4.714,4.333,4.069
"419",3.75,3.143,4,3.571,3.667,3.586
"420",3.5,3.143,2,4.429,4,3.483
"421",4.75,5,4,4.714,3.667,4.586
"422",4.375,4.429,3.5,4.571,4,4.276
"423",4.25,4.714,3.25,4.714,4.667,4.379
"424",4.25,3.571,3.5,3.857,4,3.862
"425",3.625,4.429,3,3.714,4.333,3.828
"426",3.875,4.857,2.75,5,5,4.345
"427",4.375,3.286,2.75,4.571,3.667,3.862
"428",3.375,2.429,3.75,3.857,2.333,3.207
"429",3.125,3.143,3,3,3.333,3.103
"430",3.625,2.714,3,4.429,5,3.655
"431",4.5,4.857,4,4.857,4.667,4.621
"432",3.375,4.714,4,3.857,4,3.966
"433",2.625,3.429,2,4.429,4.667,3.379
"434",2.75,2.857,3.75,4.143,4,3.379
"435",1.625,4,2.75,4.714,4.333,3.379
"436",4,3.857,4,3.714,4,3.897
"437",4.75,4,3.75,4.286,3.667,4.207
"438",3,4.143,4.5,4.286,3.667,3.862
"439",3.625,3.857,2,3.571,4.333,3.517
"440",3.625,2,3.75,3.571,2,3.069
"441",3.375,1.857,3,3.286,2.333,2.828
"442",4.5,5,5,5,2.333,4.586
"443",3.125,4,2.75,4,4,3.586
"444",4,3.857,4.25,4.286,3.667,4.034
"445",4.625,3.286,3.75,4.286,4,4.034
"446",4.375,4.714,4,4.714,5,4.552
"447",3.75,3.286,3.5,4.429,4,3.793
"448",2.5,1.857,2,4.714,3.333,2.897
"449",4.25,3.857,4,4.286,4,4.103
"450",3.625,3.286,1.25,4.286,5,3.517
"451",3,3.857,4.75,4.429,1,3.586
"452",2.875,3.714,3.25,3.714,3.667,3.414
"453",3.125,3,2.25,3.571,4,3.172
"454",3.75,2.571,2,4.429,1.333,3.138
"455",2.125,3.429,1.75,4.286,2,2.897
"456",5,4.429,5,5,5,4.862
"457",3.625,1.714,4.5,3.857,3,3.276
"458",1.75,3,4,2.857,2.333,2.69
"459",2,1.857,2,3.429,1.333,2.241
"460",3.125,3,3.75,4,2.667,3.345
"461",4.25,3.571,3.75,4.571,4,4.069
"462",3.25,1.571,5,5,2.667,3.448
"463",3.5,3.857,2.5,4.286,2.667,3.552
"464",1.625,3.286,3.5,4.857,5,3.414
"465",4,2.714,4,4.429,4.333,3.828
"466",4.625,5,4.5,4.571,4.667,4.69
"467",3.5,3,2.75,3.571,4.333,3.379
"468",3.875,3.571,2.5,3.429,4.333,3.552
"469",2.875,2,2.25,4.143,3.333,2.931
"470",3.375,2.571,1.25,3,4.667,2.931
"471",4.625,3.429,4.5,4.857,4.333,4.345
"472",4.75,3.571,4.25,5,3.333,4.31
"473",4.5,4.286,5,5,5,4.69
"474",2.5,2.714,3,2.143,2.333,2.517
"475",4.75,1.429,2.5,4.143,1.667,3.172
"476",4.875,3.143,1,4,2.333,3.448
"477",3.625,2.286,3,3.429,3.333,3.138
"478",3.875,4.286,3.5,4.286,3.667,4
"479",1.625,4.429,2.75,4.571,4.667,3.483
"480",4.375,2.571,5,4.714,4,4.069
"481",2.125,2.429,3.5,4.429,3,3.034
"482",4,3,3.75,3.571,3.667,3.586
"483",5,2.143,3.5,3.714,3.667,3.655
"484",5,4.143,4.75,4.714,5,4.69
"485",2.75,2.714,4.5,4.571,3.667,3.517
"486",4,2.571,4,4,2.333,3.483
"487",3.875,3.714,1.75,4.429,3.667,3.655
"488",4.875,4.286,3.75,4.571,4.333,4.448
"489",5,4.143,5,4.429,4.667,4.621
"490",3.25,3.143,2.75,3.714,3.667,3.31
"491",3.25,3,5,4.714,4.333,3.897
"492",4.25,4,3,4.714,4,4.103
"493",3.375,3.286,3,5,2.667,3.621
"494",3.375,3.143,3.75,3.857,3,3.448
"495",1.75,1.571,2,4.857,2,2.517
"496",4.375,2.429,4.5,3.714,3.667,3.69
"497",3.625,2.429,4.75,4,3,3.517
"498",3.25,2.857,3.25,3.857,2.333,3.207
"499",3.75,4.286,4.5,4,4,4.069
"500",4,3.714,1.5,4.286,4,3.655
"501",3.875,2.571,3.75,4.286,4.333,3.69
"502",3.625,3.429,3.25,3.429,4,3.517
"503",4.75,4.286,3,4.857,4.667,4.414
"504",3.75,3.857,3.25,4.286,4.333,3.897
"505",4.5,3.286,4.5,4.143,3.667,4.034
"506",3.875,3.429,4.5,4.857,3.667,4.069
"507",4.5,2.714,2.5,5,5,3.966
"508",3.875,3.714,3.5,3.429,4,3.69
"509",4.75,3.571,2,4.429,4.333,3.966
"510",2.875,2.143,3,3.571,3.667,2.966
"511",3.375,2.714,2.75,4.429,4.667,3.517
"512",3.5,3.429,3.75,3.429,2.667,3.414
"513",4.5,3.429,5,4.857,4.333,4.379
"514",3.25,4.714,4.75,3.714,5,4.103
"515",4,4.286,3.25,5,4.667,4.276
"516",3,3.143,3,3.143,3,3.069
"517",2.5,2.857,3,5,1.333,3.138
"518",2.625,3.857,3,3.714,4.667,3.448
"519",3.625,3.714,1.75,4.857,4.667,3.793
"520",3.125,2.857,2.75,4.571,4,3.448
"521",1.625,3,1.75,5,3.667,3
"522",4.75,4.286,1.75,5,5,4.31
"523",4,2.857,4,4.714,3.333,3.828
"524",4.25,2.857,5,3.571,2,3.621
"525",3.875,3,5,4.143,4.667,3.966
"526",4.25,3,3,4.857,3.333,3.828
"527",4.5,2.429,2.5,4.429,4.333,3.69
"528",4.125,4.429,4.25,4.429,4.667,4.345
"529",3.125,2.429,1.75,4.714,1.667,3
"530",4.75,4.429,4,3.714,3,4.138
"531",4.5,4.714,4.25,4.143,4.667,4.448
"532",4.625,4.429,4,4,3.333,4.207
"533",4.125,3.857,2,4.571,3,3.759
"534",3.375,3.571,4,4.286,4.333,3.828
"535",3.125,2.571,4.5,4.429,4,3.586
"536",3.375,3,3,3.714,3,3.276
"537",3.75,3.714,4.5,4.714,4.667,4.172
"538",3.125,2.571,5,3.857,3.333,3.448
"539",4.875,3.714,3.5,4.857,3.667,4.276
"540",4.375,3.143,4.25,4.286,3.333,3.931
"541",4.875,4.286,4.5,5,4.333,4.655
"542",4.875,3.857,4.75,4.857,4.667,4.586
"543",4.125,3,4.25,3.857,4,3.793
"544",4.125,4.429,3.75,4.714,3,4.172
"545",3.5,2.571,2.5,3.571,3,3.103
"546",2.5,3,2.5,3.286,3,2.862
"547",3.25,3.286,3,3.714,3.333,3.345
"548",3.75,2.857,2,3.714,3,3.207
"549",2.625,3.286,2,3.143,3.333,2.897
"550",3.375,2.857,2.5,3.714,4,3.276
"551",3.625,4,3.25,3.857,3.333,3.69
"552",4.875,3.143,3.25,3.429,4,3.793
"553",3.75,3.286,2.75,3.429,3,3.345
"554",3.875,3.857,4.25,4.143,3.667,3.966
"555",4.25,4.143,4.75,4.857,4.667,4.483
"556",2.625,2.714,3.75,2.857,3,2.897
"557",2.75,2.429,2,3,2.333,2.586
"558",3.625,3.286,3.5,4,3,3.552
"559",4.125,3.857,3.25,4.571,3.667,4
"560",3.375,3.286,3.5,3,2.667,3.207
"561",4.25,3.571,4.25,4.429,4.333,4.138
"562",4,3.714,3.75,4.143,4.667,4
"563",2.375,3,2,3,2.333,2.621
"564",3.5,3.286,2.75,3.571,3.333,3.345
"565",2.875,2.714,3.25,3.429,4,3.138
"566",5,3.571,3.25,4.143,3.667,4.069
"567",2.5,3,3.75,3.429,2.667,3.034
"568",3,2.714,1.25,3,4,2.793
"569",5,4.857,4.5,5,4.667,4.862
"570",3.75,3.143,3.75,3.571,3.667,3.552
"571",1.875,2,2.5,2.571,2,2.172
"572",4.5,3.143,2,4.429,3.333,3.69
"573",4.125,3.857,2.75,4.143,3.333,3.793
"574",3.5,2.571,3.5,4.429,3,3.448
"575",4.5,4.286,5,4.857,3.667,4.517
"576",5,4,5,5,4,4.655
"577",2.875,2.857,2.25,3.571,4,3.069
"578",4.25,2.429,2.5,4.714,2.667,3.517
"579",3,3.714,3,3.714,3.333,3.379
"580",4.625,4.143,5,4.714,4,4.517
"581",2.125,2.286,2.5,3,2.333,2.448
"582",2.25,2,4,4,2.333,2.862
"583",1.75,2.143,4.75,4.857,5,3.345
"584",4.25,3.429,1.5,4.571,4,3.724
"585",4.5,2,4.5,5,4.667,4.034
"586",3.5,3.286,4,4.143,3,3.621
"587",4.75,4,2.75,4.714,2.667,4.069
"588",2.5,2.143,2.5,4.143,3,2.862
"589",3.25,2.857,2.25,3.429,3,3.034
"590",2.5,3,2.5,3.429,3.667,2.966
"591",3.75,3.286,2.25,4.286,3.667,3.552
"592",4,2.714,3.5,3,3.667,3.345
"593",3.375,1.571,2.5,3.571,4.667,3
"594",2.625,2.714,2.75,2.714,3.667,2.793
"595",3.875,3.429,3.75,4.714,4,3.966
"596",4.75,3,4.5,4.857,4,4.241
"597",3.875,2.857,4.25,4.714,4.667,3.966
"598",3.125,2.429,4.75,3.571,4,3.379
"599",2.75,3.571,1.75,5,4.333,3.517
"600",3.375,4.429,4,4.143,3.667,3.931
"601",3,3,3,3,3,3
"602",1.75,1.429,1.75,4.286,1,2.207
"603",3.375,3.571,4.25,2.714,2.667,3.31
"604",4.25,5,5,4.857,3.333,4.586
"605",2.25,2.857,2,4.143,4.667,3.069
"606",4.625,3,4,5,3,4.069
"607",2.25,2.286,3,4.143,4,3
"608",3.625,3.714,3,4.429,4,3.793
"609",4.25,4.286,2.25,4.143,4.667,4
"610",3.25,3,3,4.286,3.333,3.414
"611",4.5,4.429,4,4.429,5,4.448
"612",3.375,3.143,5,4.857,2.667,3.828
"613",2.75,1.714,2.5,3.286,3,2.621
"614",2.75,2.571,2.75,4.571,4,3.276
"615",2.875,3.286,3.25,4.286,3.333,3.414
"616",4.75,4.857,5,5,5,4.897
"617",4.75,2.571,4.5,4.714,4.333,4.138
"618",4.875,3,2,5,5,4.069
"619",3.25,2.857,4.5,4.143,2.667,3.483
"620",3.5,2.429,3.25,3.286,3.667,3.172
"621",1.5,2.429,3.75,3.286,2.333,2.552
"622",3.25,2,3.5,3.714,3,3.069
"623",3.625,3.714,3.25,3,2.667,3.345
"624",2.75,2.714,2.5,3,3.333,2.828
"625",3.125,2.286,2.25,3.571,3.667,2.966
"626",2.875,2.571,4.25,3.571,3.667,3.241
"627",4,4.143,2.5,4.571,4.333,4
"628",4.875,4.429,3.75,4.714,5,4.586
"629",3.75,1.857,3.75,4.571,3.333,3.448
"630",3.125,2.857,1.25,4.143,4.333,3.172
"631",3.5,3,3.25,3.714,3.667,3.414
"632",3.625,3.429,2.5,4.143,2.667,3.448
"633",2.625,2.857,3.75,3.857,3.333,3.207
"634",2.875,2.571,3,4.857,3.333,3.345
"635",4.25,1.286,2,4,2,2.931
"636",2.875,4.429,5,4.429,4.667,4.103
"637",3.875,3.143,4.5,4.429,3,3.828
"638",4.625,3.143,3,4.857,4.667,4.103
"639",4.5,5,2.5,5,5,4.517
"640",3.75,2.714,3,4,3.333,3.414
"641",4.375,3.571,3,4.429,3,3.862
"642",4.5,4.714,4.5,4.714,5,4.655
"643",3.625,3.571,3.5,3.429,2.667,3.448
"644",4.125,2.857,2.75,4.714,4.333,3.793
"645",4,3.857,2.25,4,3.333,3.655
"646",2.25,1.571,5,4.429,1.667,2.931
"647",3.875,4,2.25,4.571,4.333,3.897
"648",3.875,2.857,5,4.857,2.667,3.897
"649",2.625,3.857,1.25,3.429,2.667,2.931
"650",2.75,2.286,3.5,4,2.667,3.034
"651",4.75,1.571,2.5,4,3.667,3.379
"652",3.75,2.571,3.5,3.714,2,3.241
"653",4.875,5,5,5,4.667,4.931
"654",3.75,4.143,3.25,4,4,3.862
"655",3.875,3.286,3.5,4.286,4,3.793
"656",4.25,3.571,4.5,4.857,3.667,4.207
"657",4.375,3,3.5,4,4.333,3.828
"658",3.375,3.429,3.75,3.714,3,3.483
"659",4.25,2.714,3.75,3.857,2.667,3.552
"660",2.125,3,1.25,4.571,3,2.897
"661",4,3.571,3.25,3.857,4.667,3.828
"662",2,1.143,1.5,5,5,2.759
"663",4.125,3.857,4.5,4.286,4.333,4.172
"664",3.375,4,4.25,4.429,4,3.966
"665",3.375,4.714,3,4,4.667,3.931
"666",2.75,2.857,3.25,4.857,3,3.379
"667",1,2.429,1.5,3.571,3,2.241
"668",4.25,2.857,4,5,4,4.034
"669",3,2.429,2.75,3.429,3.333,2.966
"670",3.75,2.286,3,3,3.333,3.069
"671",2.75,2.857,3.25,3.714,4,3.207
"672",3.25,3.571,3.75,3.714,3,3.483
"673",2.625,1.714,2.5,3.714,4.667,2.862
"674",3.5,4,3,4.429,2.667,3.69
"675",3.875,3.714,2.25,4.571,4.333,3.828
"676",3.625,4.143,2.25,4.143,4.667,3.793
"677",3.625,3.857,3,3.857,3,3.586
"678",3.625,4.143,4,4.857,4,4.138
"679",3.375,2.857,2.5,2.857,2.333,2.897
"680",3.75,4.143,3.5,5,4,4.138
"681",3,3.286,3.75,4.571,4,3.655
"682",4.375,4,3,4.714,4.667,4.207
"683",3.75,1.143,3,2.714,1.667,2.552
"684",3.75,3.857,3.75,3.857,4,3.828
"685",4.75,3.143,3.25,3.571,2.667,3.655
"686",3.25,2.714,4.5,4.143,2.333,3.414
"687",4.5,1.714,4.75,3.571,3,3.483
"688",3.25,4.286,3.25,3.714,4.333,3.724
"689",4.5,4,4.5,4.714,3.333,4.31
"690",5,3.143,4.5,5,2.333,4.207
"691",3,2.857,3.75,3,1.667,2.931
"692",3.875,3.714,4,4.714,4.667,4.138
"693",3.625,3.286,1.75,4,3,3.31
"694",3.75,3.286,3.25,2.714,4.333,3.379
"695",3.375,3,3,4.286,3.667,3.483
"696",2.875,1.857,1,4,3,2.655
"697",2.875,3.143,4.25,4.571,3,3.552
"698",4.75,2.571,2.75,5,3.333,3.862
"699",3.75,4,3.5,3.429,3.333,3.655
"700",4,2.714,3.75,4,5,3.759
"701",4,3.429,4.25,3.286,2,3.517
"702",4.25,3.857,3.25,3.857,3,3.793
"703",2.875,4,3.25,3.714,3.333,3.448
"704",3.5,4,5,4,3.333,3.931
"705",4.625,3.143,3.5,4.429,2.333,3.828
"706",4.25,2.571,3,4,1.667,3.345
"707",2.625,2.286,3.5,3.571,2.667,2.897
"708",4,3.143,3.5,3.857,4,3.69
"709",4,3.429,3.75,4.286,4,3.897
"710",5,4.714,5,4.857,4.333,4.828
"711",4.75,4.286,5,5,3,4.552
"712",4.75,4.429,3.25,4.429,4.333,4.345
"713",4.25,3,3.5,4.429,3.667,3.828
"714",3.25,3,3,4.714,3.333,3.517
"715",4,3,4.75,3.857,3,3.724
"716",3.25,3,4,4,3,3.448
"717",4.125,1.286,1,2.429,2.333,2.414
"718",3.375,3,3.5,4.143,4,3.552
"719",3.875,4.143,3.5,4.286,4.333,4.034
"720",4,2.857,4,4.143,3.667,3.724
"721",3.875,3.286,4,3.857,3,3.655
"722",3.75,2.429,4,3.429,3.333,3.345
"723",3.25,2.857,3.5,3.714,3.333,3.31
"724",5,4.714,5,5,4.333,4.862
"725",4,4.857,4.75,4.714,4.333,4.517
"726",4.75,2.714,4.5,4.286,4.667,4.103
"727",3.5,4,4,3.857,3.333,3.759
"728",3.625,3.143,3,4.714,4.667,3.793
"729",4.25,4.571,3.5,3.857,3.333,4.034
"730",4.125,5,4,4.714,4.333,4.483
"731",2.875,2.571,3.5,3.857,3.667,3.207
"732",2.625,1,2.25,3,1,2.103
"733",3.75,2.286,2.25,4.429,2,3.172
"734",1.625,3.714,1,3.286,3.667,2.655
"735",4.375,3.286,3.75,4.714,4.667,4.138
"736",4.75,4.571,4,4.429,5,4.552
"737",3.5,2.286,4,4.286,3.667,3.483
"738",2.625,3.714,2,4.429,3.333,3.31
"739",2,1.286,3,2.857,1.333,2.103
"740",4.5,1.571,2.25,3.429,3.333,3.103
"741",3.375,2.429,2.75,4.286,2.667,3.207
"742",4.5,1.143,3,4.429,2.333,3.241
"743",3.875,2.143,2.75,3.714,2.667,3.138
"744",4,3.571,2.5,4.571,4.667,3.897
"745",5,4.143,4,4.714,2.333,4.31
"746",3.875,3.571,2.25,4.143,3.667,3.621
"747",2.375,1.857,1.75,4.571,3.667,2.828
"748",3.125,3.714,3,3.857,5,3.621
"749",2.875,3,1.75,3.857,4.667,3.172
"750",2.75,2.286,2.75,3.714,4.333,3.034
"751",3.875,3.143,4,3,2.667,3.379
"752",5,1.571,1.5,4.714,2,3.31
"753",4.125,2.857,5,4.286,2.333,3.793
"754",4.75,1.429,2.5,3.857,2.333,3.172
"755",3.5,1.571,1,4.429,3,2.862
"756",4.875,4.714,5,4.857,4.667,4.828
"757",4.125,4.143,3,4.571,4.333,4.103
"758",1.5,2.286,3,3.143,3,2.448
"759",3.125,2.857,2.75,3.857,4.333,3.31
"760",3.75,2.571,4.5,3.286,3.333,3.414
"761",4.75,4.143,4,4.571,4,4.379
"762",3.875,3.286,4,4.714,3.333,3.897
"763",4.25,3.429,4,4.857,3.667,4.103
"764",4.25,2.714,2.5,4.429,2.667,3.517
"765",3,3.857,1,5,3.667,3.483
"766",3.875,2.857,2.75,4.571,3.667,3.621
"767",5,1.714,2.5,4.571,5,3.759
"768",3.25,2.286,2.75,4,2.333,3.034
"769",4,3.429,4.5,5,3.667,4.138
"770",4,3.571,4.25,4.143,3.333,3.897
"771",4,3.714,1.5,4,2,3.379
"772",4.625,2.286,1,4.857,4.333,3.586
"773",3.125,4,5,3.857,3.333,3.793
"774",4.5,3.857,4.25,4.857,4.667,4.414
"775",3.375,3.143,2.5,3.143,2.333,3.034
"776",2.875,3.143,4.75,4,2.667,3.448
"777",3.75,4.714,3.5,4,5,4.138
"778",1.5,1.571,3.5,3.857,2.333,2.448
"779",3.75,3.714,2,4.286,3,3.552
"780",5,4.429,5,5,4.333,4.793
"781",2.5,3.143,5,4,4.667,3.586
"782",4.5,3.857,3,3.857,4.333,3.966
"783",4.375,3.429,3.25,4.571,5,4.103
"784",3.875,2.714,3.75,4.286,3.667,3.655
"785",4.5,2.429,4.25,4.429,3.667,3.862
"786",4.125,3,4,4,3,3.69
"787",2.5,3.286,2,5,3.667,3.345
"788",4,3.857,3.25,4.857,3,3.966
"789",3.875,3.286,4.5,4,4,3.862
"790",4,3.429,3.25,4.714,3,3.828
"791",3.875,3.429,3.5,4,4,3.759
"792",2.75,3.571,3,4.143,4,3.448
"793",4.375,3.714,3.25,4.286,3.667,3.966
"794",3.25,2.286,5,4.714,2.667,3.552
"795",4.875,3.571,3.25,4.714,3.333,4.138
"796",4.75,4.286,4,4.143,5,4.414
"797",4.125,4.714,4,4.714,5,4.483
"798",3.25,3,4,3.571,4,3.448
"799",4.125,2.857,2.75,3.714,3.333,3.448
"800",3.875,3.857,4.75,4.571,4.333,4.207
"801",3.5,3.714,3.5,3.714,3.333,3.586
"802",4.375,2.571,3.75,3.857,3,3.586
"803",3.125,4.143,4.75,4.714,3.667,4.034
"804",2.625,2.429,2,3.286,3.333,2.724
"805",4,2.571,3.75,4.286,2,3.483
"806",2.875,2.429,4,4.143,2.667,3.207
"807",4.875,3.857,4.75,4.429,4.333,4.448
"808",4.5,3,3.75,5,4.667,4.172
"809",5,4.429,5,5,5,4.862
"810",1.375,4,2.25,4.143,2.667,2.931
"811",3.125,3.857,2.25,3.286,4,3.31
"812",4,3.857,2.5,4.714,4,3.931
"813",4.375,3.143,4.25,4.714,3,4
"814",3.375,1.714,3,3.857,1.667,2.862
"815",2.125,2.857,2.5,4,3.333,2.931
"816",4,4.286,4.25,4.286,4,4.172
"817",4.75,2.143,5,5,4,4.138
"818",3.25,2.857,4.75,3.714,3.333,3.483
"819",2.875,2.143,2.75,3.286,3.333,2.828
"820",3.875,3.143,2.75,4,4,3.586
"821",3.125,2.429,1.75,2.714,3.333,2.69
"822",3.125,3.286,2,2.857,4,3.034
"823",3.375,4,4,4,3.667,3.793
"824",2.875,2,2.5,3.857,3.333,2.897
"825",3.75,2.571,2.25,5,3,3.483
"826",4.625,4.286,2.25,4.429,5,4.207
"827",3.875,4.143,2.75,3.714,3.667,3.724
"828",4.375,4.143,4.5,4.857,3.667,4.379
