"REO","RESBP","EE","PE","RESAP","CEG"
3.625,3.143,3,3.714,3.333,3.414
4.375,1.571,3,5,3.333,3.552
3.375,3.429,4.5,3.857,2.333,3.552
3.25,2.714,3,3.571,1.667,3
3.25,3.714,5,4.714,4.333,4.069
3.75,3.143,4,3.571,3.667,3.586
3.5,3.143,2,4.429,4,3.483
4.75,5,4,4.714,3.667,4.586
4.375,4.429,3.5,4.571,4,4.276
4.25,4.714,3.25,4.714,4.667,4.379
4.25,3.571,3.5,3.857,4,3.862
3.625,4.429,3,3.714,4.333,3.828
3.875,4.857,2.75,5,5,4.345
4.375,3.286,2.75,4.571,3.667,3.862
3.375,2.429,3.75,3.857,2.333,3.207
3.125,3.143,3,3,3.333,3.103
3.625,2.714,3,4.429,5,3.655
4.5,4.857,4,4.857,4.667,4.621
3.375,4.714,4,3.857,4,3.966
2.625,3.429,2,4.429,4.667,3.379
2.75,2.857,3.75,4.143,4,3.379
1.625,4,2.75,4.714,4.333,3.379
4,3.857,4,3.714,4,3.897
4.75,4,3.75,4.286,3.667,4.207
3,4.143,4.5,4.286,3.667,3.862
3.625,3.857,2,3.571,4.333,3.517
3.625,2,3.75,3.571,2,3.069
3.375,1.857,3,3.286,2.333,2.828
4.5,5,5,5,2.333,4.586
3.125,4,2.75,4,4,3.586
4,3.857,4.25,4.286,3.667,4.034
4.625,3.286,3.75,4.286,4,4.034
4.375,4.714,4,4.714,5,4.552
3.75,3.286,3.5,4.429,4,3.793
2.5,1.857,2,4.714,3.333,2.897
4.25,3.857,4,4.286,4,4.103
3.625,3.286,1.25,4.286,5,3.517
3,3.857,4.75,4.429,1,3.586
2.875,3.714,3.25,3.714,3.667,3.414
3.125,3,2.25,3.571,4,3.172
3.75,2.571,2,4.429,1.333,3.138
2.125,3.429,1.75,4.286,2,2.897
5,4.429,5,5,5,4.862
3.625,1.714,4.5,3.857,3,3.276
1.75,3,4,2.857,2.333,2.69
2,1.857,2,3.429,1.333,2.241
3.125,3,3.75,4,2.667,3.345
4.25,3.571,3.75,4.571,4,4.069
3.25,1.571,5,5,2.667,3.448
3.5,3.857,2.5,4.286,2.667,3.552
1.625,3.286,3.5,4.857,5,3.414
4,2.714,4,4.429,4.333,3.828
4.625,5,4.5,4.571,4.667,4.69
3.5,3,2.75,3.571,4.333,3.379
3.875,3.571,2.5,3.429,4.333,3.552
2.875,2,2.25,4.143,3.333,2.931
3.375,2.571,1.25,3,4.667,2.931
4.625,3.429,4.5,4.857,4.333,4.345
4.75,3.571,4.25,5,3.333,4.31
4.5,4.286,5,5,5,4.69
2.5,2.714,3,2.143,2.333,2.517
4.75,1.429,2.5,4.143,1.667,3.172
4.875,3.143,1,4,2.333,3.448
3.625,2.286,3,3.429,3.333,3.138
3.875,4.286,3.5,4.286,3.667,4
1.625,4.429,2.75,4.571,4.667,3.483
4.375,2.571,5,4.714,4,4.069
2.125,2.429,3.5,4.429,3,3.034
4,3,3.75,3.571,3.667,3.586
5,2.143,3.5,3.714,3.667,3.655
5,4.143,4.75,4.714,5,4.69
2.75,2.714,4.5,4.571,3.667,3.517
4,2.571,4,4,2.333,3.483
3.875,3.714,1.75,4.429,3.667,3.655
4.875,4.286,3.75,4.571,4.333,4.448
5,4.143,5,4.429,4.667,4.621
3.25,3.143,2.75,3.714,3.667,3.31
3.25,3,5,4.714,4.333,3.897
4.25,4,3,4.714,4,4.103
3.375,3.286,3,5,2.667,3.621
3.375,3.143,3.75,3.857,3,3.448
1.75,1.571,2,4.857,2,2.517
4.375,2.429,4.5,3.714,3.667,3.69
3.625,2.429,4.75,4,3,3.517
3.25,2.857,3.25,3.857,2.333,3.207
3.75,4.286,4.5,4,4,4.069
4,3.714,1.5,4.286,4,3.655
3.875,2.571,3.75,4.286,4.333,3.69
3.625,3.429,3.25,3.429,4,3.517
4.75,4.286,3,4.857,4.667,4.414
3.75,3.857,3.25,4.286,4.333,3.897
4.5,3.286,4.5,4.143,3.667,4.034
3.875,3.429,4.5,4.857,3.667,4.069
4.5,2.714,2.5,5,5,3.966
3.875,3.714,3.5,3.429,4,3.69
4.75,3.571,2,4.429,4.333,3.966
2.875,2.143,3,3.571,3.667,2.966
3.375,2.714,2.75,4.429,4.667,3.517
3.5,3.429,3.75,3.429,2.667,3.414
4.5,3.429,5,4.857,4.333,4.379
3.25,4.714,4.75,3.714,5,4.103
4,4.286,3.25,5,4.667,4.276
3,3.143,3,3.143,3,3.069
2.5,2.857,3,5,1.333,3.138
2.625,3.857,3,3.714,4.667,3.448
3.625,3.714,1.75,4.857,4.667,3.793
3.125,2.857,2.75,4.571,4,3.448
1.625,3,1.75,5,3.667,3
4.75,4.286,1.75,5,5,4.31
4,2.857,4,4.714,3.333,3.828
4.25,2.857,5,3.571,2,3.621
3.875,3,5,4.143,4.667,3.966
4.25,3,3,4.857,3.333,3.828
4.5,2.429,2.5,4.429,4.333,3.69
4.125,4.429,4.25,4.429,4.667,4.345
3.125,2.429,1.75,4.714,1.667,3
4.75,4.429,4,3.714,3,4.138
4.5,4.714,4.25,4.143,4.667,4.448
4.625,4.429,4,4,3.333,4.207
4.125,3.857,2,4.571,3,3.759
3.375,3.571,4,4.286,4.333,3.828
3.125,2.571,4.5,4.429,4,3.586
3.375,3,3,3.714,3,3.276
3.75,3.714,4.5,4.714,4.667,4.172
3.125,2.571,5,3.857,3.333,3.448
4.875,3.714,3.5,4.857,3.667,4.276
4.375,3.143,4.25,4.286,3.333,3.931
4.875,4.286,4.5,5,4.333,4.655
4.875,3.857,4.75,4.857,4.667,4.586
4.125,3,4.25,3.857,4,3.793
4.125,4.429,3.75,4.714,3,4.172
3.5,2.571,2.5,3.571,3,3.103
2.5,3,2.5,3.286,3,2.862
3.25,3.286,3,3.714,3.333,3.345
3.75,2.857,2,3.714,3,3.207
2.625,3.286,2,3.143,3.333,2.897
3.375,2.857,2.5,3.714,4,3.276
3.625,4,3.25,3.857,3.333,3.69
4.875,3.143,3.25,3.429,4,3.793
3.75,3.286,2.75,3.429,3,3.345
3.875,3.857,4.25,4.143,3.667,3.966
4.25,4.143,4.75,4.857,4.667,4.483
2.625,2.714,3.75,2.857,3,2.897
2.75,2.429,2,3,2.333,2.586
3.625,3.286,3.5,4,3,3.552
4.125,3.857,3.25,4.571,3.667,4
3.375,3.286,3.5,3,2.667,3.207
4.25,3.571,4.25,4.429,4.333,4.138
4,3.714,3.75,4.143,4.667,4
2.375,3,2,3,2.333,2.621
3.5,3.286,2.75,3.571,3.333,3.345
2.875,2.714,3.25,3.429,4,3.138
5,3.571,3.25,4.143,3.667,4.069
2.5,3,3.75,3.429,2.667,3.034
3,2.714,1.25,3,4,2.793
5,4.857,4.5,5,4.667,4.862
3.75,3.143,3.75,3.571,3.667,3.552
1.875,2,2.5,2.571,2,2.172
4.5,3.143,2,4.429,3.333,3.69
4.125,3.857,2.75,4.143,3.333,3.793
3.5,2.571,3.5,4.429,3,3.448
4.5,4.286,5,4.857,3.667,4.517
5,4,5,5,4,4.655
2.875,2.857,2.25,3.571,4,3.069
4.25,2.429,2.5,4.714,2.667,3.517
3,3.714,3,3.714,3.333,3.379
4.625,4.143,5,4.714,4,4.517
2.125,2.286,2.5,3,2.333,2.448
2.25,2,4,4,2.333,2.862
1.75,2.143,4.75,4.857,5,3.345
4.25,3.429,1.5,4.571,4,3.724
4.5,2,4.5,5,4.667,4.034
3.5,3.286,4,4.143,3,3.621
4.75,4,2.75,4.714,2.667,4.069
2.5,2.143,2.5,4.143,3,2.862
3.25,2.857,2.25,3.429,3,3.034
2.5,3,2.5,3.429,3.667,2.966
3.75,3.286,2.25,4.286,3.667,3.552
4,2.714,3.5,3,3.667,3.345
3.375,1.571,2.5,3.571,4.667,3
2.625,2.714,2.75,2.714,3.667,2.793
3.875,3.429,3.75,4.714,4,3.966
4.75,3,4.5,4.857,4,4.241
3.875,2.857,4.25,4.714,4.667,3.966
3.125,2.429,4.75,3.571,4,3.379
2.75,3.571,1.75,5,4.333,3.517
3.375,4.429,4,4.143,3.667,3.931
3,3,3,3,3,3
1.75,1.429,1.75,4.286,1,2.207
3.375,3.571,4.25,2.714,2.667,3.31
4.25,5,5,4.857,3.333,4.586
2.25,2.857,2,4.143,4.667,3.069
4.625,3,4,5,3,4.069
2.25,2.286,3,4.143,4,3
3.625,3.714,3,4.429,4,3.793
4.25,4.286,2.25,4.143,4.667,4
3.25,3,3,4.286,3.333,3.414
4.5,4.429,4,4.429,5,4.448
3.375,3.143,5,4.857,2.667,3.828
2.75,1.714,2.5,3.286,3,2.621
2.75,2.571,2.75,4.571,4,3.276
2.875,3.286,3.25,4.286,3.333,3.414
4.75,4.857,5,5,5,4.897
4.75,2.571,4.5,4.714,4.333,4.138
4.875,3,2,5,5,4.069
3.25,2.857,4.5,4.143,2.667,3.483
3.5,2.429,3.25,3.286,3.667,3.172
1.5,2.429,3.75,3.286,2.333,2.552
3.25,2,3.5,3.714,3,3.069
3.625,3.714,3.25,3,2.667,3.345
2.75,2.714,2.5,3,3.333,2.828
3.125,2.286,2.25,3.571,3.667,2.966
2.875,2.571,4.25,3.571,3.667,3.241
4,4.143,2.5,4.571,4.333,4
4.875,4.429,3.75,4.714,5,4.586
3.75,1.857,3.75,4.571,3.333,3.448
3.125,2.857,1.25,4.143,4.333,3.172
3.5,3,3.25,3.714,3.667,3.414
3.625,3.429,2.5,4.143,2.667,3.448
2.625,2.857,3.75,3.857,3.333,3.207
2.875,2.571,3,4.857,3.333,3.345
4.25,1.286,2,4,2,2.931
2.875,4.429,5,4.429,4.667,4.103
3.875,3.143,4.5,4.429,3,3.828
4.625,3.143,3,4.857,4.667,4.103
4.5,5,2.5,5,5,4.517
3.75,2.714,3,4,3.333,3.414
4.375,3.571,3,4.429,3,3.862
4.5,4.714,4.5,4.714,5,4.655
3.625,3.571,3.5,3.429,2.667,3.448
4.125,2.857,2.75,4.714,4.333,3.793
4,3.857,2.25,4,3.333,3.655
2.25,1.571,5,4.429,1.667,2.931
3.875,4,2.25,4.571,4.333,3.897
3.875,2.857,5,4.857,2.667,3.897
2.625,3.857,1.25,3.429,2.667,2.931
2.75,2.286,3.5,4,2.667,3.034
4.75,1.571,2.5,4,3.667,3.379
3.75,2.571,3.5,3.714,2,3.241
4.875,5,5,5,4.667,4.931
3.75,4.143,3.25,4,4,3.862
3.875,3.286,3.5,4.286,4,3.793
4.25,3.571,4.5,4.857,3.667,4.207
4.375,3,3.5,4,4.333,3.828
3.375,3.429,3.75,3.714,3,3.483
4.25,2.714,3.75,3.857,2.667,3.552
2.125,3,1.25,4.571,3,2.897
4,3.571,3.25,3.857,4.667,3.828
2,1.143,1.5,5,5,2.759
4.125,3.857,4.5,4.286,4.333,4.172
3.375,4,4.25,4.429,4,3.966
3.375,4.714,3,4,4.667,3.931
2.75,2.857,3.25,4.857,3,3.379
1,2.429,1.5,3.571,3,2.241
4.25,2.857,4,5,4,4.034
3,2.429,2.75,3.429,3.333,2.966
3.75,2.286,3,3,3.333,3.069
2.75,2.857,3.25,3.714,4,3.207
3.25,3.571,3.75,3.714,3,3.483
2.625,1.714,2.5,3.714,4.667,2.862
3.5,4,3,4.429,2.667,3.69
3.875,3.714,2.25,4.571,4.333,3.828
3.625,4.143,2.25,4.143,4.667,3.793
3.625,3.857,3,3.857,3,3.586
3.625,4.143,4,4.857,4,4.138
3.375,2.857,2.5,2.857,2.333,2.897
3.75,4.143,3.5,5,4,4.138
3,3.286,3.75,4.571,4,3.655
4.375,4,3,4.714,4.667,4.207
3.75,1.143,3,2.714,1.667,2.552
3.75,3.857,3.75,3.857,4,3.828
4.75,3.143,3.25,3.571,2.667,3.655
3.25,2.714,4.5,4.143,2.333,3.414
4.5,1.714,4.75,3.571,3,3.483
3.25,4.286,3.25,3.714,4.333,3.724
4.5,4,4.5,4.714,3.333,4.31
5,3.143,4.5,5,2.333,4.207
3,2.857,3.75,3,1.667,2.931
3.875,3.714,4,4.714,4.667,4.138
3.625,3.286,1.75,4,3,3.31
3.75,3.286,3.25,2.714,4.333,3.379
3.375,3,3,4.286,3.667,3.483
2.875,1.857,1,4,3,2.655
2.875,3.143,4.25,4.571,3,3.552
4.75,2.571,2.75,5,3.333,3.862
3.75,4,3.5,3.429,3.333,3.655
4,2.714,3.75,4,5,3.759
4,3.429,4.25,3.286,2,3.517
4.25,3.857,3.25,3.857,3,3.793
2.875,4,3.25,3.714,3.333,3.448
3.5,4,5,4,3.333,3.931
4.625,3.143,3.5,4.429,2.333,3.828
4.25,2.571,3,4,1.667,3.345
2.625,2.286,3.5,3.571,2.667,2.897
4,3.143,3.5,3.857,4,3.69
4,3.429,3.75,4.286,4,3.897
5,4.714,5,4.857,4.333,4.828
4.75,4.286,5,5,3,4.552
4.75,4.429,3.25,4.429,4.333,4.345
4.25,3,3.5,4.429,3.667,3.828
3.25,3,3,4.714,3.333,3.517
4,3,4.75,3.857,3,3.724
3.25,3,4,4,3,3.448
4.125,1.286,1,2.429,2.333,2.414
3.375,3,3.5,4.143,4,3.552
3.875,4.143,3.5,4.286,4.333,4.034
4,2.857,4,4.143,3.667,3.724
3.875,3.286,4,3.857,3,3.655
3.75,2.429,4,3.429,3.333,3.345
3.25,2.857,3.5,3.714,3.333,3.31
5,4.714,5,5,4.333,4.862
4,4.857,4.75,4.714,4.333,4.517
4.75,2.714,4.5,4.286,4.667,4.103
3.5,4,4,3.857,3.333,3.759
3.625,3.143,3,4.714,4.667,3.793
4.25,4.571,3.5,3.857,3.333,4.034
4.125,5,4,4.714,4.333,4.483
2.875,2.571,3.5,3.857,3.667,3.207
2.625,1,2.25,3,1,2.103
3.75,2.286,2.25,4.429,2,3.172
1.625,3.714,1,3.286,3.667,2.655
4.375,3.286,3.75,4.714,4.667,4.138
4.75,4.571,4,4.429,5,4.552
3.5,2.286,4,4.286,3.667,3.483
2.625,3.714,2,4.429,3.333,3.31
2,1.286,3,2.857,1.333,2.103
4.5,1.571,2.25,3.429,3.333,3.103
3.375,2.429,2.75,4.286,2.667,3.207
4.5,1.143,3,4.429,2.333,3.241
3.875,2.143,2.75,3.714,2.667,3.138
4,3.571,2.5,4.571,4.667,3.897
5,4.143,4,4.714,2.333,4.31
3.875,3.571,2.25,4.143,3.667,3.621
2.375,1.857,1.75,4.571,3.667,2.828
3.125,3.714,3,3.857,5,3.621
2.875,3,1.75,3.857,4.667,3.172
2.75,2.286,2.75,3.714,4.333,3.034
3.875,3.143,4,3,2.667,3.379
5,1.571,1.5,4.714,2,3.31
4.125,2.857,5,4.286,2.333,3.793
4.75,1.429,2.5,3.857,2.333,3.172
3.5,1.571,1,4.429,3,2.862
4.875,4.714,5,4.857,4.667,4.828
4.125,4.143,3,4.571,4.333,4.103
1.5,2.286,3,3.143,3,2.448
3.125,2.857,2.75,3.857,4.333,3.31
3.75,2.571,4.5,3.286,3.333,3.414
4.75,4.143,4,4.571,4,4.379
3.875,3.286,4,4.714,3.333,3.897
4.25,3.429,4,4.857,3.667,4.103
4.25,2.714,2.5,4.429,2.667,3.517
3,3.857,1,5,3.667,3.483
3.875,2.857,2.75,4.571,3.667,3.621
5,1.714,2.5,4.571,5,3.759
3.25,2.286,2.75,4,2.333,3.034
4,3.429,4.5,5,3.667,4.138
4,3.571,4.25,4.143,3.333,3.897
4,3.714,1.5,4,2,3.379
4.625,2.286,1,4.857,4.333,3.586
3.125,4,5,3.857,3.333,3.793
4.5,3.857,4.25,4.857,4.667,4.414
3.375,3.143,2.5,3.143,2.333,3.034
2.875,3.143,4.75,4,2.667,3.448
3.75,4.714,3.5,4,5,4.138
1.5,1.571,3.5,3.857,2.333,2.448
3.75,3.714,2,4.286,3,3.552
5,4.429,5,5,4.333,4.793
2.5,3.143,5,4,4.667,3.586
4.5,3.857,3,3.857,4.333,3.966
4.375,3.429,3.25,4.571,5,4.103
3.875,2.714,3.75,4.286,3.667,3.655
4.5,2.429,4.25,4.429,3.667,3.862
4.125,3,4,4,3,3.69
2.5,3.286,2,5,3.667,3.345
4,3.857,3.25,4.857,3,3.966
3.875,3.286,4.5,4,4,3.862
4,3.429,3.25,4.714,3,3.828
3.875,3.429,3.5,4,4,3.759
2.75,3.571,3,4.143,4,3.448
4.375,3.714,3.25,4.286,3.667,3.966
3.25,2.286,5,4.714,2.667,3.552
4.875,3.571,3.25,4.714,3.333,4.138
4.75,4.286,4,4.143,5,4.414
4.125,4.714,4,4.714,5,4.483
3.25,3,4,3.571,4,3.448
4.125,2.857,2.75,3.714,3.333,3.448
3.875,3.857,4.75,4.571,4.333,4.207
3.5,3.714,3.5,3.714,3.333,3.586
4.375,2.571,3.75,3.857,3,3.586
3.125,4.143,4.75,4.714,3.667,4.034
2.625,2.429,2,3.286,3.333,2.724
4,2.571,3.75,4.286,2,3.483
2.875,2.429,4,4.143,2.667,3.207
4.875,3.857,4.75,4.429,4.333,4.448
4.5,3,3.75,5,4.667,4.172
5,4.429,5,5,5,4.862
1.375,4,2.25,4.143,2.667,2.931
3.125,3.857,2.25,3.286,4,3.31
4,3.857,2.5,4.714,4,3.931
4.375,3.143,4.25,4.714,3,4
3.375,1.714,3,3.857,1.667,2.862
2.125,2.857,2.5,4,3.333,2.931
4,4.286,4.25,4.286,4,4.172
4.75,2.143,5,5,4,4.138
3.25,2.857,4.75,3.714,3.333,3.483
2.875,2.143,2.75,3.286,3.333,2.828
3.875,3.143,2.75,4,4,3.586
3.125,2.429,1.75,2.714,3.333,2.69
3.125,3.286,2,2.857,4,3.034
3.375,4,4,4,3.667,3.793
2.875,2,2.5,3.857,3.333,2.897
3.75,2.571,2.25,5,3,3.483
4.625,4.286,2.25,4.429,5,4.207
3.875,4.143,2.75,3.714,3.667,3.724
4.375,4.143,4.5,4.857,3.667,4.379
